Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
你好,,,,2022-01-06 15:00:35,2022-01-06 15:00:41,5.610s,PASSED
,,,,,,,
Test Cases/Find user by ID,,,,2022-01-06 15:00:36,2022-01-06 15:00:41,5.253s,PASSED
"id = sample.Common.createNewUser(age, username, password, gender, 200)",,,,2022-01-06 15:00:36,2022-01-06 15:00:39,3.065s,PASSED
"sample.Common.findUserById(id, age, username, password, gender, 200)",,,,2022-01-06 15:00:39,2022-01-06 15:00:41,1.557s,PASSED
