Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
你好,,,,2022-01-06 15:21:40,2022-01-06 15:21:44,3.617s,PASSED
,,,,,,,
Test Cases/Create a new user,,,,2022-01-06 15:21:40,2022-01-06 15:21:44,3.313s,PASSED
"sample.Common.createNewUser(age, username, password, gender, 200)",,,,2022-01-06 15:21:41,2022-01-06 15:21:44,2.918s,PASSED
