Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
aaaaaa,,,,2022-01-24 14:40:02,2022-01-24 14:40:03,0.712s,PASSED
,,,,,,,
Test Cases/Test Case 3,,,,2022-01-24 14:40:02,2022-01-24 14:40:03,0.352s,PASSED
return null,,,,2022-01-24 14:40:03,2022-01-24 14:40:03,0.002s,PASSED
