Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
你好,,,,2022-03-02 11:31:20,2022-03-02 11:32:05,45.018s,PASSED
,,,,,,,
Test Cases/Create a new user,,,,2022-03-02 11:31:21,2022-03-02 11:32:05,44.607s,PASSED
"sample.Common.createNewUser(age, username, password, gender, 200)",,,,2022-03-02 11:31:21,2022-03-02 11:32:05,43.980s,PASSED
