Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
你好,,,,2022-01-24 10:24:01,2022-01-24 10:24:04,3.857s,PASSED
,,,,,,,
Test Cases/Create a new user,,,,2022-01-24 10:24:01,2022-01-24 10:24:04,3.517s,PASSED
"sample.Common.createNewUser(age, username, password, gender, 200)",,,,2022-01-24 10:24:01,2022-01-24 10:24:04,3.098s,PASSED
