Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
aaaaaa,,,,2022-01-24 11:43:56,2022-01-24 11:43:57,1.039s,PASSED
,,,,,,,
Test Cases/Test Case 3,,,,2022-01-24 11:43:57,2022-01-24 11:43:57,0.480s,PASSED
return null,,,,2022-01-24 11:43:57,2022-01-24 11:43:57,0.001s,PASSED
