Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
你好,,,,2022-01-06 15:06:12,2022-01-06 15:06:17,4.781s,PASSED
,,,,,,,
Test Cases/Create a new user,,,,2022-01-06 15:06:12,2022-01-06 15:06:17,4.409s,PASSED
"sample.Common.createNewUser(age, username, password, gender, 200)",,,,2022-01-06 15:06:13,2022-01-06 15:06:17,3.785s,PASSED
